FamilyID,Change,Species,Trend,Pvalue,Significance
OG0007405,-1,CBAT,Contraction,0.685,n
OG0007412,-1,BYAR,Contraction,0.529,n
OG0007412,1,CFUS,Expansion,0.529,n
OG0007412,-1,CBAT,Contraction,0.529,n
OG0007414,1,BYAR,Expansion,0.897,n
OG0007414,-1,CGAR,Contraction,0.897,n
OG0007415,1,CGAR,Expansion,0.915,n
OG0007415,-1,BYAR,Contraction,0.915,n
OG0007416,-1,CFUS,Contraction,0.932,n
OG0007417,-1,CMAC,Contraction,0.949,n
OG0007419,-1,CMAC,Contraction,0.949,n
OG0007420,-1,CMAC,Contraction,0.57,n
